full_text;clean_text;sentiment;confidence;label_final
100% bahkan puluhan persen klw kalian ada kesempatan mending kerja di luar negri untuk merubah nasib & membahagiakan orang tua.;bahkan puluhan persen kalau kalian ada kesempatan lebih baik kerja di luar negri untuk merubah nasib membahagiakan orang tua;negatif;4207;negatif
dan lu hrus inget jga , lu kalo udh ke amrik lu ga bakal bia balik ke indo sblum ad greend card, karna kalo lu blom ad lu memaksa ke indo bisa mines nya lu ga bisa balik ke amrik lg, grndcrd lm dpt ny;dan kamu harus inget juga kamu kalau udh ke amrik kamu ga bakal bia balik ke indo sblum ada greend card karena kalau kamu blom ada kamu memaksa ke indo bisa mines nya kamu ga bisa balik ke amrik lagi grndcrd lm dapat ny;positif;4209;negatif
ya loe pergi sana,kalau loe mampu,;iya kamu pergi sana kalau kamu mampu;positif;4218;negatif
tapi perlu digaris bawahi bahwa kerja di luar belum tentu lebih baik daripada di indo kalau hanya dilihat masalah gaji aja, soalnya papaku pernah kerja di US kurleb 10 thn di kapal pesiar;tapi perlu digaris bawahi bahwa kerja di luar belum tentu lebih baik daripada di indo kalau hanya dilihat masalah gaji saja soalnya papaku pernah kerja di us kurleb tahun di kapal pesiar;negatif;423;netral
Nasionalisme soal hati, bukan soal domisili.;nasionalisme soal hati bukan soal domisili;netral;4233;negatif
ahahah fr;ahahah fr;positif;4233;netral
hati2 setiap masalah di negara manapun itu sama;hati setiap masalah di negara manapun itu sama;positif;4233;positif
@KucengTerbanggg #kaburajadulu masih bisa gasih?;kaburajadulu masih bisa gasih;negatif;4241;netral
kalau punya akses pengen keluar negri;kalau punya akses pengen keluar negri;netral;4242;netral
mau bgt sekeluarga tapi... 💵💵 nya belum kekumpul.. ☺;mau banget sekeluarga tapi nya belum kekumpul;positif;4244;netral
@CNNIndonesia Pemerintah bilang bangun IKN ga pake APBN aja saya percaya.;pemerintah bilang bangun ikn ga pakai apbn saja saya percaya;netral;4246;negatif
@Serendipityflt_ citra penculik yg jadi pelopor #KaburAjaDulu ;citra penculik yang jadi pelopor kaburajadulu;positif;425;negatif
selama nganggur tingkatin skill ka gpp sembari nunggu panggilan kerja;selama tidak punya pekerjaan tingkatin skill kakak tidak apa-apa sembari nunggu panggilan kerja;netral;4251;netral
nah itu;nah itu;netral;4256;netral
@ceoconan bentar doang tp setidaknya simulasi #kaburajadulu yakk;sebentar doang tapi setidaknya simulasi kaburajadulu yakk;netral;4256;positif
gajinya pun 800rb paling tinggi 1jt an😂;gajinya pun rb paling tinggi jt an;negatif;4258;negatif
Ini peluang utk #kaburajadulu;ini peluang untuk kaburajadulu;netral;4259;positif
"Tergantung daerah juga pribadi
kalo emang hemat ngga aneh² kecil
pengalaman sendiri pngeluaran buat mkan 2jt+ jln²,dll sekitar 2jtan
dg gaji bersihku 16-18 msih bisa nabung 12-14
cuma ngga semua gini";tergantung daerah juga pribadi kalau emang hemat tidak aneh² kecil pengalaman sendiri pngeluaran buat mkan jt jln² dan lain-lain sekitar jtan dg gaji bersihku msih bisa nabung cuma tidak semua gini;positif;4261;negatif
akukalo ga terhalang anak dan suami kayanya akan aku usahakan kabur ke jepang;akukalo ga terhalang anak dan suami kayaknya akan aku usahakan kabur ke jepang;negatif;4262;negatif
jadi kepikiran apakah emang kelas menengah indonesia baik filmmakernya maupun penontonnya senengnya either bikin/disajikan mimpi² khayalan² aspirasional #kaburajadulu dari catatan si boy hingga sore trus abis itu feeling pangs of middle class guilt decide to make/watch poverty..;jadi terpikirkan apakah emang kelas menengah indonesia baik filmmakernya maupun penontonnya senengnya either bikin disajikan mimpi² khayalan² aspirasional kaburajadulu dari catatan si boy hingga sore trus habis itu feeling pangs of middle class guilt decide to make watch poverty;positif;4266;netral
Aku yo pengen pindah keluar negri... 😂🥰;aku iya pengen pindah keluar negri;positif;4268;negatif
@txtdrimedia Nyampur mint sevuah langkah kecil biar bisa #kaburajadulu https://t.co/8JdAarid3I;nyampur mint sevuah langkah kecil biar bisa kaburajadulu;netral;4272;negatif
aku masih esdee, bahasa inggris udh aga lancarr, kalo chanel youtube yang ngajarin bahasa asing kira² apa yang bagus ya?? 😔;aku masih esdee bahasa inggris udh aga lancarr kalau chanel youtube yang ngajarin bahasa asing kira² apa yang bagus iya;positif;4285;netral
aku sih yess bang pengen bgt ke luar ijin ke ortu gmn yaaak;aku sih yess bang pengen banget ke luar ijin ke orang tua gmn yaaak;positif;4285;netral
yaudah si😹;ya sudah si;negatif;4297;netral
@tanyakanrl kalo travelling ke kota sebelah kotamu ok aja kalo udh keluar province ampe luar negeri mending km balik kerja lagi aja;kalau travelling ke kota sebelah kotamu ok saja kalau udh keluar province ampe luar negeri lebih baik kamu balik kerja lagi saja;negatif;4298;negatif
@autumnaddict3 pengen ramein #KaburAjaDulu untuk kesekian kalinya;pengen ramein kaburajadulu untuk kesekian kalinya;positif;4306;positif
mnrt aku semua pejabat indonesia di masa depan harus punya latar belakang debaters biar argumen sama statement mereka ga kosong 😭😭;mnrt aku semua pejabat indonesia di masa depan harus punya latar belakang debaters biar argumen sama statement mereka ga kosong;positif;4308;negatif
oke setelah lulus #kaburajadulu;oke setelah lulus kaburajadulu;negatif;4308;negatif
last option;last option;netral;4319;netral
kami di didik dengan adat bang..dari kecil☺️;kami di didik dengan adat bang dari kecil;negatif;4326;negatif
REALISTIS LEBIH PENTING DARI PDA NASIONALIS!;realistis lebih penting dari pda nasionalis;negatif;4329;negatif
@rizifahr To be rich. Siupaya #kaburajadulu;to be rich siupaya kaburajadulu;positif;433;positif
cuma damkar yg berguna;cuma damkar yang berguna;positif;4331;negatif
"Halo #SobatSabar! Jangan mudah tergiur janji manis Penyalur kerja non-prosedural = Rawan TPPO! Ingat ya kerja ke luar negeri itu boleh tapi harus lewat jalur AMAN &amp; RESMI Demi keamanan dan masa depanmu yang lebih baik https://t.co/c2Gh5Dv62V";halo sobatsabar jangan mudah tergiur janji manis penyalur kerja non prosedural rawan tppo ingat iya kerja ke luar negeri itu boleh tapi harus lewat jalur aman amp resmi demi keamanan dan masa depanmu yang lebih baik;positif;4333;positif
@seoyeohn Gak tau Kak gua orang Konoha. Info cara #KaburAjaDulu ke Amerika biar bisa nulis engagement dengan baik dan benar?;gak tahu kak saya orang konoha informasi cara kaburajadulu ke amerika biar bisa nulis engagement dengan baik dan benar;netral;4335;netral
padahal dulu aku mimpinya tuh lahir di cina,,,, ehh malah di pelosok tanahnya mulyono 🗿;padahal dulu aku mimpinya tuh lahir di cina ehh bahkan di pelosok tanahnya mulyono;netral;4338;negatif
OHH NOOOO!?! mama udah datang dan aku lum mandi SKSKSKSSO #helpme #semogasehat #kaburajadulu ‍️‍️‍️‍️;ohh noooo mama sudah datang dan aku belum mandi sksksksso helpme semogasehat kaburajadulu;positif;4338;netral
Kayaknya emang harus #KaburAjaDulu baru bisa bikin mie ayam sendiri.;kayaknya emang harus kaburajadulu baru bisa bikin mie ayam sendiri;negatif;4343;negatif
aku janji ke diri sndri, lulus smk cari uang yg bnyk biar bisa #kaburajadulu;aku janji ke diri sndri lulus smk cari uang yang banyak biar bisa kaburajadulu;negatif;4344;negatif
@as3pram Nah ini kondisinya nggak terpaksa sih cuma butuh getaway bentar aja kalo KUL kayaknya sekalian #kaburajadulu;nah ini kondisinya tidak terpaksa sih cuma butuh getaway sebentar saja kalau kul kayaknya sekalian kaburajadulu;positif;4345;positif
"aku juga nyaranin anakku dua² nya kerja di LN
pendidikan & tenaga lebih dihargai di LN dari pada dinegeri sendiri😏";aku juga nyaranin anakku dua² nya kerja di ln pendidikan tenaga lebih dihargai di ln dari pada dinegeri sendiri;positif;4357;positif
@baseconvo Congrats nder selanjutnya apply terus cvmu ke luar negeri soalnya in this economy lagi susah nyari kerja di negara yg wapresnya dibantu oleh paman.;congrats nder selanjutnya apply terus cvmu ke luar negeri soalnya in this economy lagi susah mencari kerja di negara yang wapresnya dibantu oleh paman;positif;4364;negatif
bonceng bang sekalian 🗿;bonceng bang sekalian;negatif;4366;netral
Pengen buat trend ini juga tpi kita gabisa brooo😌🙏🏻 jdi lo aja dehh;pengen buat trend ini juga tapi kita gabisa brooo jadi kamu saja dehh;negatif;4366;negatif
apa hubungannga ke luar negri sama nasionalisme.;apa hubungannga ke luar negri sama nasionalisme;negatif;4367;netral
belajar memahami kalimat. biar kalau merantau gak dibego;belajar memahami kalimat biar kalau merantau gak dibego;negatif;437;negatif
"tinggi badan jg kadang:""";tinggi badan juga kadang;positif;4371;netral
kapan ya bisa ikut trend #kaburajadulu hmnm;kapan iya bisa ikut trend kaburajadulu hmnm;netral;4375;netral
That's A lot...but Ameeen 10 jt Monthly spend ( termasuk nabung dan buat lifestyle KPop udah termasuk) 2 jt Asuransi kesehatan (ga percaya sama pemerintah) Sisanya...Persiapan pensiun (renovasi rumah cicil kendaraan) Nabung Invest ..;that s a lot but ameeen jt monthly spend termasuk nabung dan buat lifestyle kpop sudah termasuk jt asuransi kesehatan ga percaya sama pemerintah sisanya persiapan pensiun renovasi rumah cicil kendaraan nabung invest;netral;4376;positif
Weyyy lykyou lahir pas bapaknya kerja luar negeri bjir wkwkwk;weyyy lykyou lahir pas bapaknya kerja luar negeri bjir wkwkwk;positif;4381;netral
Kok orang2 pada bisa liburan ke luar negeri sih... pada kerja apa kok duitnya bisa banyak2 bgt?? Pls tutor aku mau juga...;kok orang pada bisa liburan ke luar negeri sih pada kerja apa kok duitnya bisa banyak banget pls tutor aku mau juga;positif;4383;netral
@worksfess kann banyak yang mau kerja di luar negeri;kann banyak yang mau kerja di luar negeri;netral;4387;netral
aku pun kalo di bolehin udah dari dulu kerja ke luar negri;aku pun kalau di bolehin sudah dari dulu kerja ke luar negri;netral;4389;netral
lah yg bikin VT kan dukung Pragip waktu, yaudah nikmati tuh pilihannya. gak usah fomo² bikin VT gtu😅;lah yang bikin vt kan dukung pragip waktu ya sudah nikmati tuh pilihannya gak perlu fomo² bikin vt gtu;netral;4391;negatif
Kadang dan kerapkali ada anggota yg minta dibuatkan acara apalah di luar negeri sebagai dasar untuk kunjungan kerja . 5 hari kunker acara buatannya cuma 2 jam. Sisanya? Yaaaaagitu;kadang dan kerapkali ada anggota yang minta dibuatkan acara apalah di luar negeri sebagai dasar untuk kunjungan kerja hari kunker acara buatannya cuma jam sisanya yaaaaagitu;negatif;440;negatif
Gua tandain hari ini jadi api semangat. Ntar kalo udah di jepang gua komen lagi🤟🏻🇯🇵;saya tandain hari ini jadi api semangat nanti kalau sudah di jepang saya komen lagi;negatif;4401;positif
loker es teh jumbo aja harus good looking dan umur di bawah 30th 😅🤣 kocak emg pdhl cm jualan es teh, kerja lebih dr 8jam gaji d bawah umr 🤣;loker es kakak perempuan jumbo saja harus good looking dan umur di bawah th kocak emg pdhl cm jualan es kakak perempuan kerja lebih dr jam gaji di bawah umr;netral;4402;negatif
MAUUUU, TUNGGU SELESAI KULIAH BARU #KABURAJADULU;mauuuu tunggu selesai kuliah baru kaburajadulu;negatif;4402;positif
Masih panjang perjalanan gua buat #KaburAjaDulu;masih panjang perjalanan saya buat kaburajadulu;positif;441;positif
@cutieeinjunn boleh dong bebebb pasti kamu adalah salah satu org yg aku ajak buat #kaburajadulu versi ke negara khusus renjunlopersss;boleh dong bebebb pasti kamu adalah salah satu org yang aku ajak buat kaburajadulu versi ke negara khusus renjunlopersss;netral;4415;positif
bjirr😂;bjirr;positif;4422;netral
Gua tuh pengen idealis (((idealis))) mau ke luar negeri dan apply visanya pake uang hasil kerja gua. Tapi masih kurang beberapa lagi keknya in the end gua minta bantuan kakak gua HAHAHAH;saya tuh pengen idealis idealis mau ke luar negeri dan apply visanya pakai uang hasil kerja saya tapi masih kurang beberapa lagi kayaknya in the end saya minta bantuan kakak saya hahahah;positif;4423;negatif
gua nungguin Abang gua kerja kejepang 😂 nanti kalau bagus kerjaan nya bagian restauran gua coba belajar nanti nya😂;saya nungguin abang saya kerja kejepang nanti kalau bagus kerjaan nya bagian restauran saya coba belajar nanti nya;netral;4428;positif
"gw nabung jg pengen keluar negeri...
tp umroh😭😭";saya nabung juga pengen keluar negeri tapi umroh;negatif;4433;positif
gw lulus gw usahain bikin trend ni😔;saya lulus saya usahain bikin trend ini;negatif;4435;positif
mari kita uasahakan #kaburajadulu;mari kita uasahakan kaburajadulu;positif;4437;positif
untung abangnya GK lahir di korea Utara🗿;untung abangnya gk lahir di korea utara;positif;4438;negatif
nah ini;nah ini;netral;4444;netral
semoga pola pikir negara berubah ya;semoga pola pikir negara berubah iya;positif;4446;positif
sng ws 11 thn Pye Kii mas 😂;sng ws tahun pye kii mas;positif;4455;netral
@odebukanpuisi Saatnya #KaburAjaDulu lagi de;saatnya kaburajadulu lagi adik;negatif;4458;negatif
@tanyarlfes Apa aja bagus tp kerja di luar negeri kl di indo penting pny ordall;apa saja bagus tapi kerja di luar negeri kalau di indo penting pny ordall;positif;446;negatif
H.55 PKM #KaburAjaDulu;h pkm kaburajadulu;netral;4463;netral
"bgung mau mulainya bang
btuh tutor bang🙏";bgung mau mulainya bang btuh tutor bang;netral;4468;netral
@tahuoncom_ HAII semoga kamu bisa dapetin ptln impian dan #kaburajadulu YAH! btw dipanggilnya siapa....;haii semoga kamu bisa dapetin ptln impian dan kaburajadulu yah ngomong-ngomong dipanggilnya siapa;netral;447;positif
generasi emas ngambang di kali;generasi emas ngambang di kali;netral;447;negatif
real di lpngan 😂;real di lpngan;netral;4471;netral
#kaburajadulu ampe dibahas khusus sama CNA Malah brain drainnya yang lebih ditekenin https://t.co/zaIuXOWg5W;kaburajadulu ampe dibahas khusus sama cna bahkan brain drainnya yang lebih ditekenin;negatif;4473;netral
"29 Pekerjaan Paling Dicari di Singapura, Bisa #kaburajadulu 
https://t.co/cY8rPP13a1";pekerjaan paling dicari di singapura bisa kaburajadulu;negatif;4496;netral
kalo punya duit mah langsung pergi keluar negeri ke Korea Jepang cina Filipina dan Mekah semuanya dahh 🗿✌;kalau punya duit mah langsung pergi keluar negeri ke korea jepang cina filipina dan mekah semuanya dahh;positif;4496;positif
ngerti sih setelah tinggal di luar sendirian (belajar + kerja) gua juga jadi paham tinggal di luar negeri might not be for everyone. apalagi di jepang yg orang²nya kebanyakan lebih tertutup.. LDR jg ga semuanya bisa bikin keinget thread couple yg beberapa kali LDR jp id itu - s;mengerti sih setelah tinggal di luar sendirian belajar kerja saya juga jadi paham tinggal di luar negeri might not be for everyone apalagi di jepang yang orang²nya kebanyakan lebih tertutup ldr juga ga semuanya bisa bikin keinget thread couple yang beberapa kali ldr jp id itu s;negatif;4496;negatif
@salam4jari Bahkan utk berwisata pun kita harus #kaburajadulu;bahkan untuk berwisata pun kita harus kaburajadulu;positif;4503;negatif
Rill ini Indonesia;rill ini indonesia;netral;4506;netral
"wait"" santai🤣";wait santai;negatif;4507;netral
lulus SMP dulu cil;lulus smp dulu cil;netral;4508;negatif
@rizzzzzka⁷ kmn kita?;kmn kita;netral;4509;netral
lgsg di ulti gitu wkwkw 😂;langsung di ulti gitu wkwkw;negatif;4509;negatif
Selama masuk secara legal mah gpp;selama masuk secara legal mah tidak apa-apa;positif;451;netral
